Air_temperature,Process_temperature,Rotational_speed,Torque,Tool_wear,Type_High,Type_Low,Type_Medium,Failure_type
-0.9514166340989969,-0.9463563916392268,0.06748369027204475,0.2830544192774011,-1.6956470811542024,0.0,0.0,1.0,No Failure
-0.9014278130978683,-0.8789535728809053,-0.7296036500753329,0.6342377259674549,-1.6485113323589788,0.0,1.0,0.0,No Failure
-0.9514166340989969,-1.0137592103975868,-0.2279402890175428,0.9452857976072169,-1.6170874998288298,0.0,1.0,0.0,No Failure
-0.9014278130978683,-0.9463563916392268,-0.590252716448169,-0.04806126988750638,-1.585663667298681,0.0,1.0,0.0,No Failure
-0.9014278130978683,-0.8789535728809053,-0.7296036500753329,0.002107773925358439,-1.554239834768532,0.0,1.0,0.0,No Failure
-0.9514166340989969,-0.9463563916392268,-0.6348450152088615,0.1927501404142446,-1.522816002238383,0.0,0.0,1.0,No Failure
-0.9514166340989969,-0.9463563916392268,0.10650195168765066,0.24291918422710942,-1.4756802534431597,0.0,1.0,0.0,No Failure
-0.9514166340989969,-0.9463563916392268,-0.06629320601003262,0.02217539145050465,-1.4442564209130107,0.0,1.0,0.0,No Failure
-0.8514389920967113,-0.8789535728809053,0.7140720223020853,-1.1417464250079592,-1.4128325883828619,0.0,0.0,1.0,No Failure
-0.7514613500944256,-0.6767451166058639,1.1265507858384907,-1.201949277583397,-1.3656968395876383,0.0,0.0,1.0,No Failure
-0.8014501710955827,-0.7441479353642237,1.3550863169870395,-1.6133354368488888,-1.318561090792415,1.0,0.0,0.0,No Failure
-0.7014725290932686,-0.609342297847504,-0.6459930898990346,0.43356155071599556,-1.2400015094670427,1.0,0.0,0.0,No Failure
-0.7014725290932686,-0.609342297847504,-1.1142122268863053,1.1158605465709575,-1.1614419281416704,0.0,0.0,1.0,No Failure
-0.7014725290932686,-0.5419394790891824,1.1321248231835772,-1.001273102331938,-1.1143061793464468,0.0,0.0,1.0,No Failure
-0.7014725290932686,-0.5419394790891824,2.7653177652939385,-2.044789213639526,-1.0671704305512235,0.0,1.0,0.0,No Failure
-0.7014725290932686,-0.5419394790891824,0.017317354166265734,0.8449477099814872,-1.0357465980210745,0.0,1.0,0.0,No Failure
-0.7014725290932686,-0.5419394790891824,-1.270285272548729,0.6643391522551741,-1.0043227654909255,0.0,0.0,1.0,No Failure
-0.6514837080921401,-0.5419394790891824,-0.7184555753851598,0.5640010646294445,-0.9571870166957022,0.0,0.0,1.0,No Failure
-0.601494887090983,-0.5419394790891824,-1.2981554592741618,1.4570100444984382,-0.9100512679004787,1.0,0.0,0.0,No Failure
-0.5515060660898544,-0.47453666033082254,0.5189807152240559,-0.7504278832676138,-0.8314916865751063,0.0,0.0,1.0,No Failure
-0.5515060660898544,-0.47453666033082254,-0.9135468824631893,0.27302061051482873,-0.7843559377798829,1.0,0.0,0.0,No Failure
-0.601494887090983,-0.47453666033082254,-0.49549408158169755,0.48373059452886036,-0.7057963564545106,0.0,1.0,0.0,No Failure
-0.5515060660898544,-0.47453666033082254,0.23470481062464146,-0.9310364409939272,-0.6743725239243616,0.0,0.0,1.0,No Failure
-0.5015172450886974,-0.407133841572501,1.2213094207049622,-1.4327268791225753,-0.6272367751291382,0.0,1.0,0.0,No Failure
-0.5015172450886974,-0.407133841572501,0.12322406372291032,-0.26880506266411186,-0.5958129425989893,0.0,0.0,1.0,No Failure
-0.5015172450886974,-0.3397310228141411,1.7954352672488776,-1.6735382894243263,-0.5486771938037659,0.0,1.0,0.0,No Failure
-0.45152842408754035,-0.3397310228141411,-0.14990376618633097,-0.09823031370037119,-0.5172533612736169,0.0,1.0,0.0,No Failure
-0.45152842408754035,-0.407133841572501,1.5167333999945496,-1.5430987755108778,-0.48582952874346796,1.0,0.0,0.0,No Failure
